"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","","",
"Andorra","AND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","53.1914893617021","53.1914893617021","51.063829787234","51.063829787234","51.063829787234","48.936170212766","48.936170212766","48.936170212766","46.8085106382979","46.8085106382979","44.6808510638298","44.6808510638298","44.6808510638298","42.5531914893617","42.5531914893617","42.5531914893617","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","40.4255319148936","39.7872340425532","40","40","39.7872340425532","41.9148936170213","42.3404255319149","42.3404255319149","41.9148936170213","41.4893617021277","41.2765957446808","41.9148936170213","42.3404255319149","42.7659574468085","43.1914893617021","","",
"Afghanistan","AFG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","57.8016957208347","57.8936878095151","57.9703478834154","58.0669395765298","58.0700059794858","58.12826763565","58.2294589331984","58.2309921346764","58.2555233583245","58.2708553731046","58.3168514174448","58.3321834322248","58.3352498351808","58.3352498351808","58.3352498351808","58.3352498351808","58.3383162381369","58.3383162381369","58.3367830366588","58.3367830366588","58.3429158425709","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3306502307468","58.3229842233568","58.3229842233568","58.3229842233568","58.3076522085767","58.3076522085767","58.1604648666881","57.9749474878494","57.882955399169","57.881422197691","57.9396838538552","58.0577403676617","57.882955399169","57.882955399169","57.882955399169","57.882955399169","58.123668031216","58.125201232694","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","","",
"Angola","AGO","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","45.8570626453838","45.881126173097","45.8971685249058","45.9212320526189","45.9372744044277","45.9613379321409","45.985401459854","46.0094649875672","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0447581615465","46.0816555707067","46.1217614502286","46.1217614502286","46.1217614502286","46.1217614502286","46.1217614502286","46.1217614502286","46.1217614502286","46.0415496911847","45.9613379321409","45.9613379321409","46.0335285152803","46.1939520333681","46.1939520333681","46.1939520333681","46.1939520333681","46.274163792412","46.274163792412","46.7554343466752","46.8356461057191","46.8356461057191","","",
"Albania","ALB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","44.963503649635","44.963503649635","45","44.8905109489051","45.1459854014599","45.2554744525547","45.4014598540146","45.2554744525547","45.0729927007299","44.8905109489051","43.7956204379562","42.8467153284672","41.8248175182482","40.9489051094891","39.4160583941606","39.2335766423358","40.4744525547445","40.6569343065693","40.7664233576642","40.8029197080292","40.7299270072993","40.6569343065693","40.5109489051095","40.6204379562044","40.5839416058394","40.5474452554745","40.5474452554745","40.7664233576642","40.5109489051095","40.9124087591241","41.1313868613139","41.1313868613139","41.0948905109489","41.0948905109489","41.1313868613139","41.2773722627737","41.4233576642336","41.5693430656934","41.7883211678832","41.7518248175182","41.5693430656934","41.6058394160584","40.9124087591241","40.9489051094891","39.3065693430657","40.8759124087591","40.8394160583942","43.1021897810219","43.8430656934307","43.8430656934307","43.8321167883212","","",
"Arab World","ARB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","30.9442924784889","30.9441456790578","30.9674867886017","30.9769553519072","31.0003698611666","31.0069024358503","31.0582088370175","31.0871283249429","31.1425451101807","31.2050816678265","31.4001781117497","31.4475209282774","31.442915662525","31.4954700131555","31.4730096342548","31.5417119697158","31.5625575501334","31.6052029100724","31.6161394997986","31.6950444256753","31.3894511527496","31.4153980283751","31.4636144430806","31.874514597081","32.3697219118832","32.9523705645431","33.5063345241493","34.0973507689487","34.6170810007141","35.0285169742112","35.1193273689039","35.2732906630801","39.2276547633439","39.3714450171833","39.4721495747471","39.5414390079397","39.5548711756031","39.5907636891955","39.6022507615415","39.5956961573211","39.6304069337583","39.7132019344377","39.8854184259919","39.9976335566946","40.0970989731156","40.1160835770045","40.1614631804333","40.1011940688734","40.0316208063908","40.0791416389548","38.0548858373672","","",
"United Arab Emirates","ARE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","2.48803827751196","2.48803827751196","2.48803827751196","2.48803827751196","2.5","2.51196172248804","2.51196172248804","2.51196172248804","2.51196172248804","2.53588516746411","2.53588516746411","2.53588516746411","2.54784688995215","2.55980861244019","2.57177033492823","2.58373205741627","2.59569377990431","2.60765550239234","2.61961722488038","2.66746411483254","2.71531100478469","2.71531100478469","2.77511961722488","2.77511961722488","2.811004784689","2.84688995215311","2.84688995215311","2.85885167464115","2.85885167464115","3.40909090909091","3.70813397129187","4.05502392344498","4.24641148325359","4.44976076555024","4.58133971291866","4.688995215311","4.78468899521531","4.82057416267943","6.23205741626794","6.60287081339713","6.7822966507177","6.83014354066986","6.6866028708134","6.6866028708134","6.72248803827751","6.50239234449761","6.43062200956938","6.51435406698565","4.69976076555024","4.75239234449761","4.75239234449761","","",
"Argentina","ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","50.3633951963869","49.8536553281519","49.2839890524685","48.7073800832392","48.1530608143414","47.8490439180178","47.3941147883027","47.2231052841206","47.2475874139928","47.2395485056766","47.1935074853199","47.1474664649632","47.1014254446064","47.0553844242497","47.009343403893","46.9633023835363","46.9172613631796","46.8712203428229","46.8251793224662","46.7791383021095","46.7330972817528","47.0528265897855","47.0071509743522","46.9607445490721","46.9147035287153","46.8686625083586","46.7495405033087","46.5452791510913","46.5781655942032","46.6128790619325","46.6475925296617","46.682305997391","46.7170194651203","46.7528291476199","46.7882734251961","46.8237177027723","46.8577003606547","46.8924138283839","46.9223770321081","46.9581867146078","46.9932655872605","47.031267699301","47.8254753004542","49.0903244430315","50.3518849412977","51.5600963207378","52.6303673415696","52.6395024646562","52.3614293178986","53.6111141561521","53.9147656475523","","",
"Armenia","ARM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0814606741573","41.4676966292135","42.1348314606742","43.6797752808989","45.8567415730337","46.7696629213483","46.6292134831461","46.4536516853933","46.4536516853933","46.6292134831461","48.8412921348315","50.7022471910112","52.8441011235955","56.3553370786517","61.6713483146067","61.5133426966292","61.3525280898876","61.3026685393258","60.9199438202247","60.063202247191","","",
"American Samoa","ASM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","17.5","20","20","23.95","23.95","24","22.5","22.5","25","25","25","25","24","24","24.5","24.5","24.5","","",
